Taxon,CopyNumber
Francisella opportunistica,3
Sulfitobacter sp. SK025,1
Kordia sp. SMS9,1
Candidatus Cyclonatronum proteinivorum,1
Brachybacterium saurashtrense,1
Cylindrospermopsis raciborskii,3
Micromonospora sp. B006,1
Stenotrophomonas sp. G4,1
Natrarchaeobaculum sulfurireducens,2
Marinobacter sp. Arc7-DN-1,1
Dechloromonas sp. HYN0024,1
Ruegeria sp. AD91A,1
Aquimarina sp. BL5,1
Aquimarina sp. AD1,1
Aquimarina sp. AD10,1
Deinococcus ficus,1
Novosphingobium sp. THN1,1
Hydrogenophilus thermoluteolus,1
Mucilaginibacter celer,1
Pseudooceanicola algae,1
Cryobacterium soli,1
Micromonospora tulbaghiae,1
Rhizobium jaguaris,1
Rhizobium sp. CCGE532,1
Rhizobium sp. CCGE531,1
Alcaligenes aquatilis,3
Chryseobacterium sp. 6424,1
Nocardioides sp. 603,1
Runella sp. SP2,1
Caulobacter flavus,1
Mycoplasma struthionis,1
Nakamurella antarctica,1
Deinococcus psychrotolerans,1
Erysipelothrix piscisicarius,1
Methylomicrobium sp. wino1,1
Flaviflexus salsibiostraticola,1
Desulfovibrio ferrophilus,1
Pseudanabaena sp. ABRG5-3,1
Flaviflexus ciconiae,1
Marinobacter sp. NP-4(2019),1
Caldicellulosiruptor changbaiensis,1
Thiomicrorhabdus aquaedulcis,1
Devosia sp. 1566,1
Rhodococcus sp. X156,1
Paracoccus sp. Arc7-R13,1
Actinomyces wuliandei,1
Apibacter raozihei,1
Hydrogenovibrio thermophilus,1
Halorussus pelagicus,1
Actinomyces qiguomingii,1
Caproiciproducens sp. NJN-50,1
Halorubrum sp. BOL3-1,1
Janthinobacterium sp. 17J80-10,1
Bifidobacterium pullorum,1
Xylanimonas allomyrinae,1
Xylanimonas protaetiae,1
Agromyces protaetiae,1
Sphingosinicella sp. BN140058,1
Solidesulfovibrio carbinolicus,1
Thiomicrorhabdus indica,1
Lichenihabitans psoromatis,1
Kocuria indica,1
Haematobacter massiliensis,1
Pseudocnuella soli,1
Sphingomonas sp. AAP5,1
Hymenobacter radiodurans,1
Flavobacterium nackdongense,1
Saccharomonospora xinjiangensis,1
Kerstersia gyiorum,1
Terasakiella sp. SH-1,1
Legionella israelensis,3
Legionella geestiana,2
Nocardia sp. CS682,1
Paracoccus liaowanqingii,1
Nocardioides daphniae,1
Hydrogenovibrio crunogenus,1
Psychrobacter sp. PAMC27889,1
Sphingomonas sp. PAMC26645,1
Flavobacterium sangjuense,1
Actinomyces procaprae,1
Cellulomonas shaoxiangyii,1
Desulfovibrio desulfuricans,3
Methylocystis heyeri,1
Campylobacter rectus,2
Campylobacter showae,2
Campylobacter sp. RM6914,1
Campylobacter sp. RM16192,1
Hydrocarboniclastica marina,1
Dysosmobacter welbionis,1
Sphingobium sp. RSMS,1
Brachybacterium sp. SGAir0954,1
Natrinema versiforme,1
Actinomyces sp. oral taxon 171,1
Schaalia odontolytica,2
Peteryoungia desertarenae,1
Rhizobium indicum,2
Rhizobium hidalgonense,1
Citricoccus sp. SGAir0253,1
Thiomicrorhabdus sediminis,1
Natrinema pallidum,1
Methylotuvimicrobium buryatense,1
Nocardioides jishulii,1
Kocuria rosea,3
Antarcticibacterium flavum,1
Mycoplasma nasistruthionis,1
Hymenobacter jejuensis,1
Georgenia wutianyii,1
Hymenobacter sp. DG01,1
Georgenia yuyongxinii,1
Sphingobium fuliginis,2
Paremcibacter congregatus,1
Nocardioides sambongensis,1
Labrenzia sp. PHM005,1
Streptomyces calvus,1
Spirosoma sp. KCTC 42546,1
Nocardia otitidiscaviarum,1
Chryseobacterium sp. SNU WT5,1
Gordonia zhaorongruii,1
Qingshengfaniella alkalisoli,1
Noviherbaspirillum sp. UKPF54,1
Comamonas sp. NLF-7-7,1
Arachidicoccus ginsenosidivorans,1
Mucilaginibacter ginsenosidivorax,1
Microvenator marinus,1
Persicimonas caeni,1
Antarcticibacterium arcticum,1
Rhizobium sp. WL3,1
Flavobacterium alkalisoli,1
Cellulomonas sp. Y8,1
Anseongella ginsenosidimutans,1
Aquisphaera giovannonii,1
Dermacoccus abyssi,1
Pigmentiphaga aceris,1
Marinobacter fonticola,1
Pedobacter aquae,1
Bosea sp. F3-2,1
Limnoglobus roseus,1
Oryzomicrobium terrae,1
Labrys sp. KNU-23,1
Francisella marina,2
Chlorobium phaeovibrioides,1
Methylomonas rhizoryzae,1
Flintibacter sp. KGMB00164,1
Hymenobacter baengnokdamensis,1
Cellvibrio sp. KY-GH-1,1
Paracoccus pantotrophus,2
Chryseobacterium sp.,1
Ensifer alkalisoli,1
Candidatus Uabimicrobium amorphum,1
Deinococcus sp. AJ005,1
Corynebacterium urogenitale,1
Campylobacter armoricus,2
Paracoccus kondratievae,1
Flavobacterium haoranii,1
Curtobacterium flaccumfaciens,5
Marinobacter sp. THAF197a,1
Labrenzia sp. THAF82,1
Marinobacter sp. THAF39,1
Ruegeria sp. THAF33,1
Luteimicrobium xylanilyticum,1
Candidatus Methylospira mobilis,1
Brucella sp. 2280,1
Halomicrobium sp. LC1Hm,1
Raineyella fluvialis,1
Litoricola lipolytica,1
Agrobacterium sp. MA01,1
Thermochromatium tepidum,1
Micromonospora terminaliae,1
Cellulosimicrobium sp. BI34T,1
Sphingobium sp. CAP-1,1
Cellulomonas sp. JZ18,1
Candidatus Syntrophocurvum alkaliphilum,1
Pseudodesulfovibrio cashew,1
Mycoplasma sp. NEAQ87857,1
Stenotrophomonas sp. 364,1
Pelistega ratti,1
Eggerthella guodeyinii,1
Gordonia sp. JH63,1
Kordia antarctica,1
Xylophilus rhododendri,1
Hymenobacter busanensis,1
Nibribacter ruber,1
Gordonia amarae,2
Bergeyella cardium,1
Actinomyces sp. 432,1
Pontibacter russatus,1
Mycoplasmopsis felis,1
Methylosinus sp. C49,1
Sulfuriferula nivalis,1
Rhodocytophaga rosea,1
Sphingomonas insulae,1
Mycobacterium novum,1
Nitrogeniibacter mangrovi,1
Schaalia sp. ZJ405,1
Apibacter sp. B2966,1
Apibacter sp. B3706,1
Caldichromatium japonicum,1
Sanguibacter sp. HDW7,1
Acidovorax sp. HDW3,1
Hymenobacter sp. HDW8,1
Pusillimonas sp. DMV24BSW_D,1
Thiosulfativibrio zosterae,1
Erysipelothrix sp. HDW6A,1
Mameliella alba,1
Adlercreutzia hattorii,1
Haloarcula sp. JP-L23,1
Spirosoma aureum,1
Actinomyces sp. zg-332,1
Legionella antarctica,1
Kocuria sp. KD4,1
Sulfurospirillum sp. ACSDCE,1
Leeuwenhoekiella sp. ZYFB001,1
Nonlabens sp. SY33080,1
Nocardia arthritidis,1
Paracoccus sp. AK26,1
Allofrancisella frigidaquae,1
Allofrancisella inopinata,1
Francisella sp. LA112445,1
Hymenobacter sp. BT18,1
Gephyromycinifex aptenodytis,1
Thalassobius gelatinovorus,1
Bermanella marisrubri,1
Marinobacterium sp. LSUCC0821,1
Spirosoma sp. CJU-R4,1
Mucilaginibacter sp. F39-2,1
Campylobacter sp. CFSAN093246,1
Campylobacter sp. CFSAN093241,1
Campylobacter sp. CFSAN093256,1
Campylobacter sp. CFSAN093259,1
Campylobacter sp. CFSAN093260,1
Campylobacter sp. CFSAN093224,1
Campylobacter sp. CFSAN093226,1
Campylobacter sp. CFSAN093238,1
Cellulomonas taurus,1
Mycoplasma phocoeninasale,1
Gordonia ajococcus,1
Nonlabens sp. Ci31,1
Cellulosimicrobium sp. 72-3,1
Diaphorobacter sp. JS3050,1
Actinomyces marmotae,1
Nocardioides sp. zg-579,1
Actinomyces faecalis,1
Pseudomonas campi,1
Lichenicola cladoniae,1
Campylobacter ornithocola,1
Campylobacter corcagiensis,2
Campylobacter geochelonis,1
Halarcobacter ebronensis,1
Campylobacter blaseri,1
Campylobacter sp. CCUG 57310,1
Hymenobacter sp. BRD67,1
Hymenobacter sp. BRD128,1
Tenuifilum thalassicum,1
Thiomicrorhabdus xiamenensis,1
Caproicibacterium lactatifermentans,2
Hydrogenovibrio marinus,1
Mycoplasma sp. OR1901,1
Verrucosispora sp. NA02020,1
Campylobacter upsaliensis,4
Galbibacter sp. BG1,1
Nostoc sp. C052,1
Francisella sp. Scap27,1
Kocuria sp. TGY1127_2,1
Winogradskyella helgolandensis,1
Actinomyces sp. oral taxon 169,1
Costertonia aggregata,1
Natrinema sp. YPL30,1
Nocardioides marinisabuli,1
Sulfitobacter pontiacus,2
Ensifer mexicanus,1
Nocardioides sp. MC1495,1
Nostoc edaphicum,1
Chryseobacterium sp. cx-624,1
Changpingibacter yushuensis,1
Adhaeribacter radiodurans,1
Brucella sp. BO3,1
Legionella sp. PC1000,1
Spirosoma sp. KCTC 72228,1
Ciceribacter thiooxidans,1
Herbaspirillum frisingense,2
Phyllobacterium sp. 628,1
Rothia nasimurium,1
Kribbella qitaiheensis,1
Hymenobacter sp. NBH84,1
Rhodococcus triatomae,2
Adhaeribacter swui,1
Synechococcus sp. LTW-R,1
Hymenobacter sp. S2-20-2,1
Corynebacterium anserum,1
Synechococcus sp. RS9907,1
Synechococcus sp. RS9902,1
Synechococcus sp. A15-44,1
Cyanobium sp. NS01,1
Sphingobium sp. KCTC 72723,1
Psychrobacter sp. KCTC 72983,1
Dermacoccus sp. PAMC28757,1
Olivibacter sp. SDN3,1
Eubacterium sp. NSJ-61,1
Mycoplasma sp. Pen4,1
Nocardia wallacei,1
Nitrosophilus labii,1
Caproicibacterium amylolyticum,1
Cylindrospermopsis curvispora,1
Hymenobacter qilianensis,1
Acidovorax monticola,1
Corynebacterium zhongnanshanii,1
Aquibium microcysteis,1
Brucella sp. 6810,1
Actinomyces respiraculi,1
Stenotrophomonas sp. 169,1
Micromonospora sagamiensis,1
Pedobacter sp. SW-16,1
Rothia terrae,1
Rothia amarae,1
Micromonospora craniellae,1
Algoriphagus sp. Y33,1
Stenotrophomonas sp. CW117,1
Aureimonas sp. OT7,1
Bifidobacterium lemurum,1
Pseudopuniceibacterium antarcticum,1
Helicobacter winghamensis,1
Campylobacter sp. 2014D-0216,1
'''Clostridium sp. ''''deep sea''''''',1
Sulfurovum indicum,1
Thermobifida fusca,1
Nitrosophilus alvini,1
Solibaculum mannosilyticum,1
Novosphingobium sp. ES2-1,1
Nanchangia anserum,1
Cellulosimicrobium sp. JZ28,1
Rhizobium sp. 007,1
Pedobacter endophyticus,1
Methylomonas sp. LL1,1
Actinomyces trachealis,1
Brucella sp. BO2,1
Diaphorobacter sp. JS3051,1
Synechococcus sp. CBW1006,1
Synechococcus sp. CBW1004,1
Synechococcus sp. CBW1002,1
Oligella ureolytica,1
Rothia kristinae,2
Anaerococcus vaginalis,1
Corynebacterium bovis,1
Venatorbacter cucullus,1
Curtobacterium sp. YC1,1
[Phormidium] sp. ETS-05,1
Nitratiruptor sp. YY08-13,1
Nitratiruptor sp. YY08-14,1
Nitratiruptor sp. YY08-26,1
Nitratiruptor sp. YY09-18,1
Hydrogenimonas urashimensis,1
Martelella lutilitoris,1
Actinomyces weissii,1
Anaerococcus obesiensis,1
Actinomyces sp. HMT897,1
Nitratiruptor sp. YY08-10,1
Actinomyces sp. HMT 175,1
Rothia aeria,3
Peptoniphilus harei,2
Corynebacterium propinquum,3
Ralstonia syzygii,2
Keratinibaculum paraultunense,1
Tamlana sp. s12,1
Rhizobium rosettiformans,1
Shinella sp. PSBB067,1
Legionella sp. MW5194,1
Agrobacterium rhizogenes,3
Methylomonas sp. LW13,1
Variovorax sp. PDNC026,1
Paracoccus sp. H4-D09,1
Methylococcus sp. EFPC2,1
Methylomonas sp. EFPC1,1
Natronoglycomyces albus,1
Leucobacter sp. CX169,1
Marinobacter sp. LPB0319,1
Koleobacter methoxysyntrophicus,1
Nitrogeniibacter aestuarii,1
Psychroflexus sp. ALD_RP9,1
Caldicellulosiruptor diazotrophicus,1
Haloterrigena longa,1
Rhizobium lentis,1
Roseomonas haemaphysalidis,1
Rhizobium binae,1
Rhizobium bangladeshense,2
Rhizobium sp. NZLR1,1
Alcaligenes sp. SORT26,1
Sulfidibacter corallicola,1
Pengzhenrongella sicca,1
Brucella sp. 458,1
Cognatishimia activa,1
Thiothrix litoralis,1
Porphyromonas sp. oral taxon 275,1
Atopobium sp. oral taxon 416,1
Falsirhodobacter sp. PG104,1
Polymorphospora rubra,1
Micromonospora endophytica (Xie et al. 2001) Li et al. 2019,1
Vescimonas fastidiosa,1
Nocardia tengchongensis,1
Nocardioides sp. zg-536,1
Cellulomonas sp. zg-ZUI222,1
Vescimonas coprocola,1
Pusillibacter faecalis,1
Allochromatium tepidum,1
Spiractinospora alimapuensis,1
Methylomonas paludis,1
Amycolatopsis sp. CA-230715,1
Azospira inquinata,2
Campylobacter novaezeelandiae,1
Francisella salimarina,1
Schaalia sp. 19OD2882,1
Rhizobium sp. WYJ-E13,1
Cellulophaga sp. HaHaR_3_176,1
Modestobacter sp. L9-4,1
Paracoccus marcusii,1
Comamonas sp. NLF-1-9,1
Nocardia iowensis,1
Tessaracoccus sp. J1M15,1
Alcaligenes ammonioxydans,1
Gramella sp. MT6,1
Rhizobium sp. AB2/73,2
Schaalia turicensis,1
Brevundimonas nasdae,2
Cryobacterium sp. PAMC25264,1
Algoriphagus sp. NBT04N3,1
Salinibacterium sp. M195,1
Leucobacter luti,1
Apibacter sp. ESL0432,1
Apibacter sp. ESL0404,1
Prevotella sp. Rep29,1
Diaphorobacter sp. MNS-0,1
Flavobacterium sp. WSW3-B6,1
Gelria sp. Kuro-4,1
Methylogaea oryzae,1
Campylobacter sp. 19-13652,1
Flavobacterium sp. KK2020170,1
Stenotrophomonas pavanii,1
Dyadobacter sp. NIV53,1
Mycoplasma sp. Ms02,1
Leucobacter sp. NB 10,1
Zunongwangia sp. SCSIO 43204,1
Ruegeria sp. SCSIO 43209,1
Aquirufa sp. 9H-EGSE,1
Legionella anisa,1
Polaribacter litorisediminis,1
Corallococcus sp. EGB,1
Rhodoferax sp. MIZ03,1
Aureimonas sp. SA4125,1
Actinomyces sp. MAS-1,1
Pseudomonas nanhaiensis,1
Arachidicoccus terrestris,1
Porphyromonas endodontalis,1
Corynebacterium falsenii,2
Tepidimonas taiwanensis,1
Salegentibacter mishustinae,1
Leeuwenhoekiella palythoae,1
Chitinophaga sp. MD30B,1
Natrinema salinisoli,1
Natrinema sp. DC36,1
Methylophaga sp. TMB1265,1
Gordonia sp. WA4-43,1
Asticcacaulis sp. AND118,1
Kinneretia sp. XES5,1
Candidatus Vallotia cooleyia,1
Candidatus Vallotia lariciata,1
Lichenihabitans sp. PAMC28606,1
Haladaptatus pallidirubidus,1
Phyllobacterium sp. T1293,1
Collinsella stercoris,1
Prevotella buccalis,1
Mucilaginibacter daejeonensis,1
Brachybacterium sp. CBA3105,1
Shinella zoogloeoides,2
Flavobacterium sp. GENT11,1
Flavobacterium sp. GENT5,1
Flavobacterium sp. SHINM13,1
Pseudodesulfovibrio sediminis,1
Deinococcus radiophilus,1
Paracoccus sp. MA,1
Roseomonas sp. OT10,1
Sulfurimonas sp. HSL-3221,1
Rhizobium sp. T136,1
Ideonella dechloratans,1
Rhizobium laguerreae,1
Flavobacterium sp. KSM-R2A25,1
Flavobacterium sp. KSM-R2A30,1
Ralstonia sp. 56D2,1
Nocardia gipuzkoensis,1
Sinomicrobium sp. HD2P242,1
Aureimonas altamirensis,1
Spirosoma sp. RHs26,1
Melaminivora jejuensis,1
Microbulbifer sp. YPW16,1
Amycolatopsis acidiphila,1
Agromyces marinus,1
Larkinella sp. IE-0392,1
Acidovorax sp. YS12,1
Sphingomonas sp. S2-65,1
Suttonella sp. R2A3,1
Kaistella sp. 97-N-M2,1
Ornithinimicrobium sp. INDO-MA30-4,1
Antarcticibacterium sp. 1MA-6-2,1
Halopseudomonas sp. RR6,1
Microbacterium sp. KUDC0406,1
Microbacterium sp. KUDC0405,1
Thiomicrorhabdus sp. Am19,1
Hydrogenophaga sp. SL48,1
Gordonia amicalis,3
Pedobacter sp. Q8-18,1
Deinococcus sp. KNUC1210,1
Rhizobium sp. C104,1
Campylobacter sp. RM10537,1
Rhizobium sp. K102,1
Lutibacter sp. A64,1
Lutibacter sp. A80,1
Flavobacterium sp. HJ-32-4,1
Shinella sp. H4-D48,1
Curtobacterium luteum,1
Microcoleus vaginatus,2
Zhouia spongiae,1
[Acidovorax] ebreus,1
Pseudodesulfovibrio tunisiensis,1
Hymenobacter monticola,1
Flavobacterium enshiense,1
Emergencia timonensis,2
Pyramidobacter piscolens,1
Sphaerochaeta associata,1
Dyadobacter sp. LJ419,1
Halococcus dombrowskii,1
Hymenobacter sp. 5116S-27,1
Leucobacter sp. H21R-40,1
Hymenobacter sp. 5116S-3,1
Hymenobacter sp. 5516J-16,1
Leucobacter sp. H21R-36,1
Hymenobacter sp. 5317J-9,1
Hymenobacter sp. 5413J-13,1
Flavobacterium sediminilitoris,1
Anaerotruncus colihominis,1
Halovarius luteus,1
Natribaculum longum,1
Natribaculum breve,1
Blastococcus sp. PRF04-17,1
Halovarius sp. SQT-29-1,1
Shinella oryzae,1
Gordonia hongkongensis,1
Synechococcus sp. NB0720_10,1
Hymenobacter sp. 5516S-25,1
Synechococcus sp. A10-1-5-1,1
Flavobacterium sp. IGB 4-14,1
Ignavigranum ruoffiae,1
Sulfurovum sp. XGS-02,1
Halorussus sp. XZYJT49,1
Marinobacter sp. M4C,1
Marinobacter sp. M3C,1
Marinobacter sp. M2C,1
Marinobacter sp. M1C,1
Ezakiella coagulans,1
Deinococcus sp. QL22,1
Brachybacterium sp. CBA3104,1
Amycolatopsis thermalba,1
Couchioplanes caeruleus,1
Corynebacterium pseudodiphtheriticum,3
Chroococcidiopsis sp. CCNUC1,1
Aquincola tertiaricarbonis,1
Peptoniphilus sp. SAHP1,1
Paracoccus aminovorans,1
Alloactinosynnema sp. L-07,1
Cyanobium sp. NIES-981,1
Brucella sp. 10RB9215,1
Brucella inopinata,1
Methanobacterium congolense,1
Akkermansia glycaniphila,1
Actinomyces pacaensis,1
Ndongobacter massiliensis,1
Anaerococcus mediterraneensis,1
Legionella spiritensis,2
Dermatophilus congolensis,1
Legionella waltersii,1
Tenacibaculum jejuense,1
Gordonibacter urolithinfaciens,2
Pseudodesulfovibrio profundus,1
Mycoplasmopsis edwardii,1
Christensenella sp. Marseille-P3954,1
Alistipes megaguti,1
Legionella cherrii,1
Actinomyces howellii,1
Actinomyces slackii,1
Cardiobacterium hominis,1
Legionella adelaidensis,1
Kaistella antarctica,1
Actinomyces viscosus,1
Peptoniphilus ivorii,1
Mycoplasmopsis glycophila,1
Mycoplasmopsis gallopavonis,1
Mycoplasmopsis citelli,1
Mycoplasmopsis columboralis,1
Acholeplasma hippikon,1
Gemmata massiliana,1
Pseudorhizobium flavum,1
Desulfovibrio sp. 86,1
Acididesulfobacillus acetoxydans,1
Denitratisoma oestradiolicum,1
Treponema socranskii,1
Cloacibacterium caeni,2
Candidatus Vallotia tarda,1
Cardiobacterium sp. Marseille-Q4385,1
Actinomyces,27
Methanosarcina,13
Kocuria,9
Nitratiruptor,6
Azorhizobium,1
Solidesulfovibrio,2
Methanosphaera,2
Syntrophotalea,3
Cytophaga,1
Granulibacter,1
Syntrophomonas,1
Magnetococcus,1
Dichelobacter,1
Marinobacter,21
Verminephrobacter,1
Methanocorpusculum,1
Salinispora,1
Caldicellulosiruptor,9
Chloroflexus,2
Beijerinckia,1
Akkermansia,2
Gloeothece,2
Methanosphaerula,1
Brachybacterium,9
Zunongwangia,2
Liberibacter,5
Cryptobacterium,1
Saccharomonospora,2
Halomicrobium,4
Catenulispora,1
Fibrobacter,1
Thermanaerovibrio,1
Xylanimonas,3
Geodermatophilus,1
Allochromatium,2
Natrialba,1
Aminobacterium,1
Gramella,5
Thermincola,1
Herbaspirillum,7
Thermosediminibacter,1
Gallionella,1
Dokdonia,4
Psychroflexus,2
Leadbetterella,1
Asticcacaulis,2
Desulfurispirillum,1
Ethanoligenens,1
Alicycliphilus,1
Paludibacter,1
Sulfuricurvum,1
Thermovibrio,1
Isosphaera,1
Marinithermus,1
Wolinella,1
Mycetohabitans,1
Desulfocurvibacter,1
Mahella,1
Hoyosella,1
Methylomonas,9
Halopiger,1
Methanosalsum,1
Gracilinema,1
Collimonas,3
Marichromatium,1
Taylorella,2
Halobiforma,1
Thiocystis,1
Natronobacterium,1
Thermovirga,1
Niastella,1
Saprospira,1
Parachlamydia,1
Marinitoga,2
Methylophaga,3
Ornithobacterium,1
Bernardetia,1
Blastococcus,2
Rubrivivax,1
Simiduia,1
Thermacetogenium,1
Modestobacter,2
Rivularia,1
Pleurocapsa,1
Geitlerinema,1
Chroococcidiopsis,2
Dactylococcopsis,1
Halothece,1
Cyanobacterium,1
Candidatus Kinetoplastibacterium,6
Thermoclostridium,1
Desulfocapsa,1
Actinotignum,1
Dermacoccus,3
Basilea,1
Parvimonas,1
Falsihalocynthiibacter,1
Allofrancisella,3
Geoalkalibacter,1
Candidatus Ishikawaella,1
Candidatus Tachikawaea,1
Siansivirga,1
Tatlockia,1
Defluviitoga,1
Alcaligenes,4
Pseudorhizobium,2
Methylotuvimicrobium,2
Sneathia,1
Spirosoma,12
Ferriphaselus,1
Rufibacter,3
Chondromyces,1
Schaalia,7
Vulgatibacter,1
Kibdelosporangium,1
Sediminicola,1
Salinivirga,1
Pannonibacter,1
Microterricola,1
Rhodovulum,3
Geminocystis,2
Zhongshania,1
Algoriphagus,3
Planctomyces,2
Denitrobacterium,1
Dermabacter,2
Cryobacterium,4
Actinoalloteichus,4
Desulfococcus,1
Boudabousia,1
Rhodobaca,1
Neomicrococcus,1
Roseibium,1
Salegentibacter,2
Thioclava,2
Paludisphaera,1
Sedimentisphaera,2
Paenalcaligenes,1
Cellulosimicrobium,5
Fibrella,1
Rhizobacter,1
Agarilytica,1
Granulosicoccus,1
Arenibacter,1
Labrenzia,3
Prauserella,1
Candidatus Hamiltonella,1
Chondrocystis,1
Methylosinus,2
Aestuarium,1
Ketobacter,1
Tamlana,2
Oligella,2
Melaminivora,2
Simplicispira,1
Pulveribacter,1
Aquirufa,2
Pseudoprevotella,1
Kordia,2
Candidatus Cyclonatronum,1
Cylindrospermopsis,2
Hydrogenophilus,1
Pseudooceanicola,1
Kaistella,8
Methylomicrobium,1
Thiomicrorhabdus,5
Apibacter,5
Hydrogenovibrio,3
Caproiciproducens,1
Lichenihabitans,2
Haematobacter,1
Pseudocnuella,1
Kerstersia,1
Terasakiella,1
Hydrocarboniclastica,1
Dysosmobacter,1
Peteryoungia,1
Citricoccus,1
Antarcticibacterium,3
Paremcibacter,1
Qingshengfaniella,1
Noviherbaspirillum,1
Microvenator,1
Persicimonas,1
Anseongella,1
Aquisphaera,1
Limnoglobus,1
Oryzomicrobium,1
Labrys,1
Flintibacter,1
Candidatus Uabimicrobium,1
Luteimicrobium,1
Candidatus Methylospira,1
Raineyella,1
Litoricola,1
Thermochromatium,1
Candidatus Syntrophocurvum,1
Pelistega,1
Xylophilus,1
Nibribacter,1
Bergeyella,1
Rhodocytophaga,1
Nitrogeniibacter,2
Caldichromatium,1
Thiosulfativibrio,1
Mameliella,1
Leeuwenhoekiella,2
Gephyromycinifex,1
Thalassobius,1
Bermanella,1
Lichenicola,1
Tenuifilum,1
Caproicibacterium,2
Verrucosispora,1
Galbibacter,1
Costertonia,1
Changpingibacter,1
Adhaeribacter,2
Ciceribacter,1
Nitrosophilus,2
Pseudopuniceibacterium,1
Solibaculum,1
Nanchangia,1
Venatorbacter,1
Koinonema,1
Hydrogenimonas,1
Peptoniphilus,3
Keratinibaculum,1
Natronoglycomyces,1
Koleobacter,1
Sulfidibacter,1
Pengzhenrongella,1
Cognatishimia,1
Atopobium,1
Falsirhodobacter,1
Polymorphospora,1
Vescimonas,2
Pusillibacter,1
Spiractinospora,1
Gelria,1
Methylogaea,1
Tepidimonas,1
Candidatus Vallotia,3
Ideonella,1
Sinomicrobium,1
Larkinella,1
Suttonella,1
Microcoleus,1
Zhouia,1
Emergencia,1
Pyramidobacter,1
Anaerotruncus,1
Halovarius,2
Natribaculum,2
Ignavigranum,1
Couchioplanes,1
Aquincola,1
Alloactinosynnema,1
Ndongobacter,1
Dermatophilus,1
Gordonibacter,1
Cardiobacterium,2
Acididesulfobacillus,1
Denitratisoma,1
Nitratiruptoraceae,2
Syntrophotaleaceae,1
Cytophagaceae,4
Syntrophomonadaceae,4
Magnetococcaceae,1
Cardiobacteriaceae,3
Marinobacteraceae,1
Methanocorpusculaceae,1
Chloroflexaceae,1
Akkermansiaceae,1
Catenulisporaceae,1
Fibrobacteraceae,1
Geodermatophilaceae,3
Thermincolaceae,1
Thermosediminibacteraceae,1
Chrysiogenaceae,1
Paludibacteraceae,1
Thermoanaerobacterales Family IV. Incertae Sedis,1
Saprospiraceae,1
Bernardetiaceae,1
Rivulariaceae,1
Hyellaceae,1
Chroococcidiopsidaceae,1
Geminocystaceae,1
Vulgatibacteraceae,1
Salinivirgaceae,1
Hydrogenophilaceae,1
Lichenihabitantaceae,1
Terasakiellaceae,1
Microvenatoraceae,1
Candidatus Uabimicrobiaceae,1
Litoricolaceae,1
Verrucomicrobiaceae,3
Tenuifilaceae,1
Hydrogenimonaceae,1
Koleobacteraceae,1
Acanthopleuribacteraceae,1
Magnetococcales,1
Cardiobacteriales,1
Verrucomicrobiales,2
Catenulisporales,1
Fibrobacterales,1
Geodermatophilales,1
Chrysiogenales,1
Chroococcidiopsidales,1
Hydrogenophilales,1
Candidatus Uabimicrobiales,1
Koleobacterales,1
Acanthopleuribacterales,1
Verrucomicrobiae,1
Fibrobacteria,1
Chrysiogenetes,1
Hydrogenophilalia,1
Candidatus Uabimicrobiia,1
Balneolaeota,1
Fibrobacteres,1
Chrysiogenetes,1
Ralstonia,7
Desulfuromonadales,3
Brucella suis,22
Thermoanaerobacteraceae,7
Cutibacterium acnes,28
Bordetella,16
Rhodospirillales,7
Haloarcula,7
Achromobacter xylosoxidans,19
Rothia,8
Desulfobacterales,4
Mucilaginibacter rubeus,7
Legionellaceae,2
Hymenobacter,32
Thalassospiraceae,2
Sinorhizobium,6
Corallococcus,3
Dehalobacter,3
Synergistaceae,6
Promicromonosporaceae,3
Synergistales,1
Synergistia,1
Synergistetes,1
Micromonospora,11
Rhodocyclales,4
Natrinema,10
Thermosipho,5
Pseudonocardia,10
Thiothrix,5
Sulfurovaceae,2
Oscillatoriales,5
Peptoniphilaceae,6
Hymenobacteraceae,5
Rhizobiaceae,11
Acidipropionibacterium jensenii,4
Nocardia,17
Anaerococcus,4
Thiomicrospira,4
Microvirga,4
Microcoleaceae,4
Desulfuromonadaceae,2
Legionella,21
Desulfovibrionaceae,11
Porphyromonas,7
Porphyromonadaceae,1
Rhizobium,63
Gordonia,23
Rhodocyclaceae,5
Burkholderiales,20
Piscirickettsiaceae,8
Campylobacterales,7
Corynebacterium aurimucosum,3
Acetobacter aceti,3
Pseudomonas alcaligenes,3
Bifidobacterium,21
Algibacter,3
Collinsella,3
Flaviflexus,3
Deinococcus,21
Deinococcaceae,1
Desulfobacteraceae,7
Deinococcales,1
Cereibacter sphaeroides,8
Brucella,24
Archangiaceae,4
Ruegeria,5
Oscillospiraceae,19
Thermoanaerobacterales,5
Cytophagales,10
Epsilonproteobacteria,2
Cytophagia,1
Myxococcaceae,2
Desulfovibrio,9
Diaphorobacter,9
Acidipropionibacterium,3
Thiovulaceae,2
Stenotrophomonas,21
Novacetimonas hansenii,2
Corallococcus macrosporus,2
Dehalobacter restrictus,2
Campylobacter ureolyticus,2
Deinococcus actinosclerus,2
Leuconostoc suionicum,2
Leptolyngbya boryana,4
Achromobacter spanius,4
Epilithonimonas vandammei,2
Mycoplasmopsis gallinacea,2
Ferribacterium limneticum,4
Novacetimonas,1
Candidatus Protochlamydia,2
Dyadobacter,4
Sanguibacter,2
